Name SMILES logPalk ClogPalk logPcorr MSA/Ang**2 solvent ref
TrainData_001 C 1.14 1.296 0.000 47.213 hxd jpharmsci.1994.1085
TrainData_001 C 1.33 1.296 0.000 47.213 cyc jpharmsci.1994.1085
TrainData_001 C 1.37 1.296 0.000 47.213 alk jpharmsci.1994.1085
TrainData_002 C#C 0.14 0.054 1.474 54.047 hxd perkin2.1990.291
TrainData_003 C(=C(Cl)Cl)(Cl)Cl 3.65 3.209 0.579 120.532 hxd jpharmsci.1994.1085
TrainData_004 C(=C(Cl)Cl)Cl 2.68 2.740 0.579 106.716 hxd jpharmsci.1994.1085
TrainData_004 C(=C(Cl)Cl)Cl 2.86 2.740 0.579 106.716 cyc jpharmsci.1994.1085
TrainData_005 C(=C/Cl)\Cl 1.71 2.258 0.579 92.551 hxd jpharmsci.1994.1085
TrainData_006 C(=C\Cl)\Cl 1.58 2.232 0.579 91.774 hxd jpharmsci.1994.1085
TrainData_007 C(=O)(N)N -5.46 -5.454 7.800 78.097 hxd jgenphysiol.1976.127
TrainData_008 C(Br)(Br)Br 2.22 2.267 1.090 107.831 hxd jpharmsci.1994.1085
TrainData_009 C(Br)Br 1.45 1.623 1.090 88.895 hxd jpharmsci.1994.1085
TrainData_010 C(C(Cl)(Cl)Cl)(Cl)Cl 3.25 3.114 1.260 137.765 hxd jpharmsci.1994.1085
TrainData_011 C(C(Cl)(Cl)Cl)Cl 2.70 2.686 1.260 125.163 hxd jpharmsci.1994.1085
TrainData_012 C(C(Cl)Cl)(Cl)Cl 1.99 2.101 1.860 125.625 hxd jpharmsci.1994.1085
TrainData_013 C(C(Cl)Cl)Cl 1.83 1.638 1.860 111.995 hxd jpharmsci.1994.1085
TrainData_014 C(CBr)Br 1.67 1.673 1.690 108.031 hxd jpharmsci.1994.1085
TrainData_015 C(CCCO)CCO -3.27 -3.665 8.960 164.841 hxd jgenphysiol.1976.127
TrainData_016 C(CCCl)CCl 2.08 2.403 1.860 134.505 hxd jpharmsci.1994.1085
TrainData_017 C(CCO)CO -4.37 -4.969 8.960 126.488 hxd jgenphysiol.1976.127
TrainData_018 C(CCl)CCl 1.71 1.754 1.860 115.403 hxd jpharmsci.1994.1085
TrainData_019 C(CCl)Cl 1.26 1.178 1.860 98.466 hxd jpharmsci.1994.1085
TrainData_020 C(Cl)(Cl)(Cl)Cl 2.88 3.374 0.000 108.357 hxd jpharmsci.1994.1085
TrainData_021 C(Cl)(Cl)Cl 1.69 1.648 1.260 94.623 hxd jpharmsci.1994.1085
TrainData_021 C(Cl)(Cl)Cl 1.74 1.648 1.260 94.623 cyc jpharmsci.1994.1085
TrainData_022 C(Cl)Cl 1.06 1.147 1.260 79.907 hxd jpharmsci.1994.1085
TrainData_023 C(F)(F)(F)F 1.49 2.086 0.000 70.453 hxd jpharmsci.1994.1085
TrainData_024 C(I)I 2.01 2.233 0.860 100.069 hxd perkin2.1990.291
TrainData_025 C/C=C/C=O -0.53 -0.517 3.739 103.866 hxd jpharmsci.1994.1085
TrainData_026 C1=CC(=O)NC1=O -2.61 -2.609 5.819 103.506 chx canjchem.1966.44.1035
TrainData_027 C1C=CC=CC=C1 2.72 2.678 1.219 123.732 hxd jpharmsci.1994.1085
TrainData_028 C1CC1 1.86 2.338 0.000 77.865 hxd jpharmsci.1994.1085
TrainData_029 C1CCC(=O)C1 -0.23 -0.221 3.720 112.023 hxd jpharmsci.1994.1085
TrainData_030 C1CCC(=O)CC1 0.19 0.291 3.720 127.090 hxd jpharmsci.1994.1085
TrainData_031 C1CCC(C1)O -0.79 -0.814 4.480 116.942 hxd jpharmsci.1994.1085
TrainData_032 C1CCC(CC1)N 0.06 0.057 4.230 135.198 alk jpharmsci.1994.1085
TrainData_032 C1CCC(CC1)N 0.20 0.057 4.230 135.198 hxd jpharmsci.1994.1085
TrainData_033 C1CCC(CC1)O -0.25 -0.312 4.480 131.704 hxd jpharmsci.1994.1085
TrainData_034 C1CCC=CC1 3.29 3.165 0.579 119.240 hxd jpharmsci.1994.1085
TrainData_035 C1CCCC(CC1)O 0.39 0.136 4.480 144.863 hxd jpharmsci.1994.1085
TrainData_036 C1CCCC1 3.40 3.387 0.000 108.736 hxd jpharmsci.1994.1085
TrainData_037 C1CCCCC1 3.72 3.877 0.000 123.138 alk jpharmsci.1994.1085
TrainData_037 C1CCCCC1 3.91 3.877 0.000 123.138 hxd jpharmsci.1994.1085
TrainData_037 C1CCCCC1 4.15 3.877 0.000 123.138 cyc jpharmsci.1994.1085
TrainData_038 C1CCNCC1 -0.31 -0.421 4.170 119.364 alk jpharmsci.1994.1085
TrainData_038 C1CCNCC1 0.10 -0.421 4.170 119.364 alk eurjmedchem.1974.473
TrainData_039 C1CCOC1 0.09 0.156 2.960 100.758 hxd jpharmsci.1994.1085
TrainData_040 C1CCOCC1 0.77 0.668 2.960 115.822 hxd jpharmsci.1994.1085
TrainData_041 C1COCCO1 -0.81 -1.042 4.420 108.467 hxd jpharmsci.1994.1085
TrainData_042 C=C 1.23 1.192 0.579 61.193 hxd jpharmsci.1994.1085
TrainData_043 C=C(Cl)Cl 2.29 2.237 0.579 91.925 hxd jpharmsci.1994.1085
TrainData_044 C=CC=C 1.99 1.974 0.899 93.623 hxd jpharmsci.1994.1085
TrainData_045 CBr 1.03 0.938 1.090 68.759 hxd jpharmsci.1994.1085
TrainData_046 CC 1.83 2.018 0.000 68.461 hxd jpharmsci.1994.1085
TrainData_046 CC 2.05 2.018 0.000 68.461 alk jpharmsci.1994.1085
TrainData_046 CC 2.06 2.018 0.000 68.461 cyc jpharmsci.1994.1085
TrainData_047 CC#C 0.68 0.766 1.474 74.998 hxd jpharmsci.1994.1085
TrainData_048 CC#N -1.11 -1.369 3.390 68.549 hxd jpharmsci.1994.1085
TrainData_048 CC#N -1.46 -1.369 3.390 68.549 cyc jpharmsci.1994.1085
TrainData_049 CC(=C)C(=C)C 2.98 3.132 0.899 127.665 hxd jpharmsci.1994.1085
TrainData_050 CC(=C)C=C 2.60 2.535 0.899 110.115 hxd jpharmsci.1994.1085
